FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
541,5032,541,480,21,Orissa,STATE,389,Gajapati,4325,577817,128523,282882,294935,4588033312,475324.3072,2983349,31.93560028
542,5476,542,481,21,Orissa,STATE,383,Dhenkanal,4452,1192811,279364,612593,580218,5045804443,431577.3959,2666342,44.2521019
543,4923,543,482,21,Orissa,STATE,385,Nayagarh,3890,962789,228315,502636,460153,4505631875,443261.189,2796860,36.81200027
544,4660,544,483,21,Orissa,STATE,381,Cuttack,3932,2624470,579170,1352760,1271710,4288202754,621668.7646,2775052,42.05599976
545,3697,545,484,21,Orissa,STATE,382,Jajapur,2899,1827192,407851,926034,901158,3396764222,438507.1861,2670323,43.61050034
546,9810,546,485,21,Orissa,STATE,395,Kalahandi,7920,1576869,401251,787101,789768,8975505984,640124.5923,2821760,39.02730179
547,3889,547,486,21,Orissa,STATE,391,Baudh,3098,441162,106961,221625,219537,3576222049,424551.8601,2730528,37.41659927
548,3053,548,487,21,Orissa,STATE,379,Kendrapara,2644,1440361,321934,717814,722547,2802746789,405034.6225,2752487,37.73960114
549,10413,549,488,21,Orissa,STATE,375,Kendujhar,8303,1801733,405272,906487,895246,9637344913,673264.1799,2410349,41.13410187
550,10419,550,489,21,Orissa,STATE,388,Ganjam,8206,3529031,758267,1779218,1749813,9524027073,675028.5262,2857121,35.60710144
551,12240,551,490,21,Orissa,STATE,374,Sundargarh,9712,2093437,479109,1061147,1032290,11373292012,827414.0883,2303241,36.48939896
552,3073,552,491,21,Orissa,STATE,378,Bhadrak,2505,1506337,306333,760260,746077,2835669171,365174.2468,2652732,42.97990036
553,4818,553,492,21,Orissa,STATE,394,Nuapada,3852,610382,152210,301962,308420,4418703419,429313.5155,2687299,46.38970184
554,9127,554,493,21,Orissa,STATE,396,Rayagada,7073,967911,226144,471960,495951,8319279787,760130.203,2918198,35.54570007
555,2651,555,495,21,Orissa,STATE,371,Jharsuguda,2114,579505,136061,296690,282815,2462336882,364254.7013,2443947,38.37730026
556,3282,556,496,22,Chhatisgarh,STATE,#N/A,Bemetra,0,0,0,0,0,3045960297,359109.7476,2450731,41.49580002
557,6440,557,497,22,Chhatisgarh,STATE,414,Bastar,10470,1413199,311538,698487,714712,5856644458,472221.7884,2998287,35.30500031
558,2685,558,556,33,Tamil Nadu,STATE,619,Thiruvarur,2274,1264277,327219,626693,637584,2372001464,437610.2864,3921886,22.82939911
559,4047,559,557,33,Tamil Nadu,STATE,602,Thiruvallur,3394,3728104,946949,1876062,1852042,3587749936,568880.3626,3736017,37.88629913
560,3207,560,498,22,Chhatisgarh,STATE,#N/A,Mungeli,0,0,0,0,0,2986616942,348937.8282,2267863,31.07290077
561,7875,561,499,22,Chhatisgarh,STATE,406,Bilaspur,8272,2663629,600822,1351574,1312055,7323597112,595963.7612,2132035,31.20709991
562,6066,562,500,22,Chhatisgarh,STATE,#N/A,Gariaband,0,0,0,0,0,5576807458,528346.0994,2683387,52.73149872
563,5321,563,501,22,Chhatisgarh,STATE,407,Kabeerdham,4235,822526,178446,412058,410468,4947403705,407434.5312,2302922,31.17429924
564,6958,564,502,22,Chhatisgarh,STATE,#N/A,Sukma,0,0,0,0,0,6304622554,546197.4128,3132736,27.99580002
565,8951,565,503,22,Chhatisgarh,STATE,413,Uttar Bastar Kanker,7161,748941,160937,373338,375603,8216854477,661368.5175,2801468,43.97729874
566,4966,566,504,22,Chhatisgarh,STATE,#N/A,Baloda Bazar,0,0,0,0,0,4611457175,466789.8404,2513498,47.39860153
567,4263,567,505,22,Chhatisgarh,STATE,#N/A,Balod,0,0,0,0,0,3924389880,395595.2876,2690935,46.99710083
568,5350,568,558,33,Tamil Nadu,STATE,614,Tiruchirappalli,4509,2722290,698404,1352284,1370006,4702329326,726000.0114,3898654,25.85350037
569,6159,569,559,33,Tamil Nadu,STATE,633,Tiruppur,5187,2479052,712210,1246159,1232893,5403421222,642711.9104,3902045,23.15270042
570,4387,570,560,33,Tamil Nadu,STATE,623,Madurai,3710,3038252,794887,1526475,1511777,3836741578,497581.6334,3962777,24.49329948
571,3447,571,561,33,Tamil Nadu,STATE,613,Karur,2904,1064493,287095,528184,536309,3022442875,442978.4995,3917350,25.69470024
572,5542,572,562,33,Tamil Nadu,STATE,630,Dharmapuri,4497,1506843,375873,774303,732540,4881948347,501499.7381,3818825,30.38949966
573,4069,573,563,33,Tamil Nadu,STATE,609,Namakkal,3420,1726601,475511,869280,857321,3568253584,394456.2917,3887270,26.99200058
574,3109,574,564,09,Uttar Pradesh,STATE,135,Moradabad,3718,4772006,796170,2503186,2268820,3052695302,384174.1419,418349,71.3844986
575,3265,575,565,09,Uttar Pradesh,STATE,#N/A,Sambhal,0,0,0,0,0,3193960940,388169.2604,477638,95.11060333
576,5604,576,566,09,Uttar Pradesh,STATE,149,Budaun,5168,3681896,615776,1967759,1714137,5462034220,444458.8806,533483,94.55149841
577,2663,577,567,09,Uttar Pradesh,STATE,202,Kanshiram Nagar,1955,1436719,237903,764165,672554,2585278437,326533.5201,618570,94.75759888
578,6441,578,568,09,Uttar Pradesh,STATE,180,Bahraich,5237,3487731,603754,1843884,1643847,6250830061,616139.2033,546773,69.21640015
579,1420,579,569,09,Uttar Pradesh,STATE,#N/A,Hapur,0,0,0,0,0,1389678556,248223.3011,472701,88.21340179
580,7593,580,570,09,Uttar Pradesh,STATE,154,Sitapur,5743,4483992,801764,2375264,2108728,7375809831,566828.2043,648455,77.33869934
581,1787,581,571,09,Uttar Pradesh,STATE,#N/A,Samli,0,0,0,0,0,1769381671,230389.0654,375401,71.47000122
582,3540,582,506,22,Chhatisgarh,STATE,416,Dakshin Bastar Dantewada,8298,533638,120850,264142,269496,3214061802,407481.9544,3055906,32.80929947
583,6200,583,507,22,Chhatisgarh,STATE,401,Surguja,15732,2359886,526049,1193129,1166757,5787707220,518190.8778,2087836,35.34970093
584,9786,584,508,22,Chhatisgarh,STATE,#N/A,Balrampur,0,0,0,0,0,9188185833,845736.4612,1817153,44.58760071
585,6413,585,509,22,Chhatisgarh,STATE,#N/A,Kondagaon,0,0,0,0,0,5872827416,482913.8338,2875081,42.10250092
586,2563,586,572,09,Uttar Pradesh,STATE,181,Shrawasti,1640,1117361,188289,593897,523464,2494064806,299797.9159,640889,65.9434967
587,4751,587,510,22,Chhatisgarh,STATE,415,Narayanpur,4653,139820,27982,70104,69716,4335819155,458402.1306,2922817,39.9939003
588,2851,588,511,22,Chhatisgarh,STATE,409,Durg,8535,3343872,701707,1682101,1661771,2630705891,332844.1114,2581967,42.04499817
589,4009,589,512,22,Chhatisgarh,STATE,#N/A,Surajpur,0,0,0,0,0,3761433603,462943.7013,1909841,44.19179916
590,11282,590,513,22,Chhatisgarh,STATE,417,Bijapur,8530,255230,54757,128663,126567,10258489340,653942.0779,3025022,34.00859833
591,4405,591,585,09,Uttar Pradesh,STATE,145,Mathura,3340,2547184,423125,1367125,1180059,4289546440,383155.9684,634773,90.58429718
