FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
286,10126,286,323,29,Karnataka,STATE,565,Bellary,8461,2452595,489118,1236954,1215641,9029721446,800254.8953,3539230,32.75239944
287,4946,287,324,29,Karnataka,STATE,576,Kodagu,4102,554519,142716,274608,279911,4353747290,446244.6134,3795746,19.46980095
288,88,288,261,07,NCT of Delhi,UNION TERRITORY,093,East,63,1709346,358937,907500,801846,85998010.07,42495.13579,501446,166.4129944
289,342,289,262,07,NCT of Delhi,UNION TERRITORY,098,South,247,2731929,574133,1467428,1264501,333805250,102356.1579,512343,124.7389984
290,594,290,263,07,NCT of Delhi,UNION TERRITORY,090,North West,443,3656539,736253,1960922,1695617,585208083.9,137311.6645,470205,105.6949997
291,537,291,264,07,NCT of Delhi,UNION TERRITORY,097,South West,421,2292958,494439,1246046,1046912,525228147.8,156452.724,502730,99.97109985
292,982,292,265,06,Haryana,STATE,088,Faridabad,741,1809733,358919,966110,843623,960415441.9,168589.093,529051,94.43489838
293,5710,293,266,06,Haryana,STATE,079,Sirsa,4277,1295189,246571,682582,612607,5652992890,483698.9286,344185,54.44499969
294,5572,294,267,06,Haryana,STATE,080,Hisar,3983,1743931,335608,931562,812369,5496381601,505536.5881,386365,49.94469833
295,2812,295,325,29,Karnataka,STATE,583,Bangalore Rural,2298,990923,229279,509172,481751,2487960863,416689.3766,3740396,35.20539856
296,12775,296,326,29,Karnataka,STATE,571,Tumkur,10597,2678980,640081,1350594,1328386,11300585036,1037981.203,3672012,25.25959969
297,16291,297,327,29,Karnataka,STATE,555,Belgaum,13433,4779661,983854,2423063,2356598,14593601409,1063019.302,3403564,33.68510056
298,6855,298,328,29,Karnataka,STATE,560,Koppal,5570,1389920,264595,699926,689994,6120066053,573048.3527,3520235,30.62010002
299,2459,299,329,29,Karnataka,STATE,572,Bangalore,2196,9621551,2393845,5022661,4598890,2168346822,310265.3126,3762892,37.53730011
300,4199,300,330,29,Karnataka,STATE,584,Ramanagara,3516,1082636,260533,548008,534628,3705642753,445223.887,3766343,32.4858017
301,6421,301,331,27,Maharashtra,STATE,502,Washim,4898,1197160,259464,620302,576858,5890913064,605553.0588,2760227,47.46659851
302,21104,302,332,27,Maharashtra,STATE,522,Ahmadnagar,17048,4543159,930024,2342825,2200334,19222376147,1343959.726,2913833,39.24720001
303,8908,303,333,27,Maharashtra,STATE,524,Latur,7157,2454196,481572,1273140,1181056,8076961576,527538.9434,3122326,39.47000122
304,18240,304,334,27,Maharashtra,STATE,526,Solapur,14895,4317756,873167,2227852,2089904,16489029114,1228856.002,3169396,40.5666008
305,19357,305,335,27,Maharashtra,STATE,516,Nashik,15530,6107187,1222887,3157186,2950001,17759728923,883890.031,2736617,34.86660004
306,9302,306,336,27,Maharashtra,STATE,525,Osmanabad,7569,1657576,351281,861535,796041,8430630372,774690.5929,3145945,40.15670013
307,6251,307,337,27,Maharashtra,STATE,529,Sindhudurg,5207,849651,209839,417332,432319,5627202396,628351.3437,3441323,37.97990036
